example_id,context,description,category,confidence,reviewer_notes
L17-0001, communication internal improvements of national importance. The North River [ figured]  prominently among his proposals as the best route toward western,,,,
L17-0002, for the Bishop's Gaiters.  He [ was]  inducted into the Canadian Football Hall of Fame in ,,,,
L17-0003, and the Gulf of Mexico by a massive system of [ rivers]  and manmade waterways. Because of it,,,,
L17-0004," attributed to a defect in a gene that the scientists [ named]  Klotho, after the mythical Greek goddess said to",,,,
L17-0005," arcade of shops on both Fircroft Road and [ Garr] ick Way.

References

Philip's Street",,,,
L17-0006," containers could be unloaded efficiently row by row. After [ the]  first row was removed, the practice of roll-",,,,
L17-0007," the most wind is), and was to dock in [ Bremer] haven, where the hydrogen produced would be delivered to",,,,
L17-0008," the rights of our clients as—to date— [laws]  in Canada protect them."" In October, the site",,,,
L17-0009," played their home games at Gerald J. Ford Stadium [ in]  Dallas, Texas, and competed in the West Division",,,,
L17-0010,"Faculty Member, School of STEM at American Public University [ and]  Caribbean Sustainability Collective Director
Note: This blog post",,,,
L17-0011," Museum, within the school building designed by Charles R [ennie]  Mackintosh
 Kingston Halls, attributed to the architect",,,,
L17-0012, children have identified common 2D shapes in the [ world]  around us. Back in the classroom the children had,,,,
L17-0013, to change the way national parks look at rewild [ing]  everywhere in the world where there are extirpated,,,,
L17-0014," Its largest group of franchise operators is Dixie Lee Mar [itimes] , a New Brunswick-based company with 3",,,,
L17-0015," Between 1975 and 19 [9] 5, Hong Kong took in 223",,,,
L17-0016,. By 1827 he had obtained [ his]  first patent; he also won a first class Gold,,,,
L17-0017," Truth to Power, 1929- [3] 9
The Indian Minotaur, 1",,,,
L17-0018," in Weybridge, Surrey in the mid-1 [9] 60s ""to give him a few pointers",,,,
L17-0019," bit earlier in Mongolia.
“It was a [ swift] , active predator. Its claws would have been several",,,,
L17-0020," Matzkin Shactman.

References

 [External]  links
MSNBC: ""Watch: Brian Sh",,,,
L17-0021,"“ the opponent’s hands so he is unable [ to]  throw hooks or uppercuts.
To perform",,,,
L17-0022," Proteins in the human body have different roles
<> [ Enzym] atic building enzymatic systems in numerous metabolic pathways
<>",,,,
L17-0023," Brake Rotor to have minimal runout. Abras [ive]  friction materials will wear away at high spots, creating",,,,
L17-0024," Poland. Its seat is the town of Mysz [yn] iec, which lies approximately  north of Ostro",,,,
L17-0025," but men can also get osteoporosis, if they have [ testosterone]  deficiency. Other causes are a lack of hormones,",,,,
L17-0026,|Download:||Right here | Video Courses | [ Membership]  | Download Updates|,,,,
L17-0027,"), the species from which it is descended. Its [ small]  size is a result of insular dwarfism,",,,,
L17-0028," in 1932. However, Z [ieg] feld too went bankrupt only a short time later.",,,,
