feature_id,source,regime,text_id,token_pos,activation,context,example_id
1903,wikimedia-en,0,7824,429,133.9535675048828, communication internal improvements of national importance. The North River [ figured]  prominently among his proposals as the best route toward western,L17-0001
296,wikimedia-en,1,7607,75,2252.090087890625, for the Bishop's Gaiters.  He [ was]  inducted into the Canadian Football Hall of Fame in ,L17-0002
3136,fineweb-edu-sample,0,5328,503,95.58230590820312, and the Gulf of Mexico by a massive system of [ rivers]  and manmade waterways. Because of it,L17-0003
1892,fineweb-edu-sample,1,2060,337,240.32861328125," attributed to a defect in a gene that the scientists [ named]  Klotho, after the mythical Greek goddess said to",L17-0004
28027,wikimedia-en,1,6514,220,258.5358581542969," arcade of shops on both Fircroft Road and [ Garr] ick Way.

References

Philip's Street",L17-0005
1844,fineweb-edu-sample,1,3901,224,1126.9337158203125," containers could be unloaded efficiently row by row. After [ the]  first row was removed, the practice of roll-",L17-0006
12335,wikimedia-en,1,6831,75,119.216064453125," the most wind is), and was to dock in [ Bremer] haven, where the hydrogen produced would be delivered to",L17-0007
710,wikimedia-en,0,7945,184,127.72401428222656," the rights of our clients as—to date— [laws]  in Canada protect them."" In October, the site",L17-0008
8532,wikimedia-en,0,7312,42,123.64775848388672," played their home games at Gerald J. Ford Stadium [ in]  Dallas, Texas, and competed in the West Division",L17-0009
2377,fineweb-edu-sample,1,4827,31,534.0569458007812,"Faculty Member, School of STEM at American Public University [ and]  Caribbean Sustainability Collective Director
Note: This blog post",L17-0010
28027,wikimedia-en,1,11193,273,140.76698303222656," Museum, within the school building designed by Charles R [ennie]  Mackintosh
 Kingston Halls, attributed to the architect",L17-0011
3136,fineweb-edu-sample,0,4516,74,98.95985412597656, children have identified common 2D shapes in the [ world]  around us. Back in the classroom the children had,L17-0012
710,fineweb-edu-sample,0,4580,496,153.02220153808594, to change the way national parks look at rewild [ing]  everywhere in the world where there are extirpated,L17-0013
12335,wikimedia-en,0,10400,59,65.54067993164062," Its largest group of franchise operators is Dixie Lee Mar [itimes] , a New Brunswick-based company with 3",L17-0014
1645,fineweb-edu-sample,1,5095,250,1658.71484375," Between 1975 and 19 [9] 5, Hong Kong took in 223",L17-0015
2377,wikimedia-en,0,11643,81,122.41563415527344,. By 1827 he had obtained [ his]  first patent; he also won a first class Gold,L17-0016
1645,fineweb-edu-sample,1,1623,277,1894.2294921875," Truth to Power, 1929- [3] 9
The Indian Minotaur, 1",L17-0017
1645,wikimedia-en,0,10282,246,491.5780334472656," in Weybridge, Surrey in the mid-1 [9] 60s ""to give him a few pointers",L17-0018
3136,fineweb-edu-sample,0,608,225,95.99357604980469," bit earlier in Mongolia.
“It was a [ swift] , active predator. Its claws would have been several",L17-0019
35053,wikimedia-en,0,11104,360,89.89417266845703," Matzkin Shactman.

References

 [External]  links
MSNBC: ""Watch: Brian Sh",L17-0020
17857,fineweb-edu-sample,0,313,473,152.73245239257812,"“ the opponent’s hands so he is unable [ to]  throw hooks or uppercuts.
To perform",L17-0021
12335,fineweb-edu-sample,1,5353,81,120.15312194824219," Proteins in the human body have different roles
<> [ Enzym] atic building enzymatic systems in numerous metabolic pathways
<>",L17-0022
8532,fineweb-edu-sample,0,2163,119,101.60013580322266," Brake Rotor to have minimal runout. Abras [ive]  friction materials will wear away at high spots, creating",L17-0023
12335,wikimedia-en,1,11508,48,130.9827423095703," Poland. Its seat is the town of Mysz [yn] iec, which lies approximately  north of Ostro",L17-0024
6756,fineweb-edu-sample,1,4851,78,205.43809509277344," but men can also get osteoporosis, if they have [ testosterone]  deficiency. Other causes are a lack of hormones,",L17-0025
